lab_name,category_focus,city,state,street_address,contact_name,contact_email,phone_number,website_url,source_registry
IMMUNOCHEM,Contract Research (Pre-Clinical),Belgium - Corroy-Le-Grand,"ANTIBODIES FOR NICHE PARAMETERS, ANTIBODY FRAGMENT GENERATION PLATFORM",,,,,https://www.immunochem.be/,BioPharmGuy
INNOSER,Contract Research (Pre-Clinical),Belgium - Diepenbeek,PRECLINICAL CRO,,,,,https://www.innoserlaboratories.com/,BioPharmGuy
OHMX,Contract Research (Pre-Clinical),Belgium - Evergem,"WET-LAB AND DRY-LAB SERVICE PROVIDER,",,,,,https://ohmx.bio/,BioPharmGuy
VIXEN BIO,Contract Research (Pre-Clinical),Belgium - Gent,ANTIBODY WORK,,,,,https://vixenbio.com/,BioPharmGuy
CERBA RESEARCH,Contract Research (Pre-Clinical),Belgium - Ghent,LAB TESTING,,,,,https://www.cerbaresearch.com/,BioPharmGuy
EUROSCREENFAST,Contract Research (Pre-Clinical),Belgium - Gosselies,GPCR SCREENING,,,,,https://euroscreenfast.com/,BioPharmGuy
SEQALIS,Contract Research (Pre-Clinical),Belgium - Gosselies,"SEQUENCING, PATHOLOGY SERVICES, BIOBANKING, GENOMICS",,,,,https://www.seqalis.com/,BioPharmGuy
REMYND,Contract Research (Pre-Clinical),Belgium - Leuven,PRECLINICAL IN-VIVO ALZHEIMER'S CONTRACT RESEARCH,,,,,https://www.remynd.com/,BioPharmGuy
PURNA PHARMACEUTICALS,Contract Research (Pre-Clinical),Belgium - Puurs,"CONTRACT SERVICES FOR THE DEVELOPMENT AND MANUFACTURING OF SEMI-SOLID, POWDERS AND LIQUID PHARMACEUTICAL PRODUCTS",,,,,https://www.purna.be/,BioPharmGuy
LONZA,Contract Research (Pre-Clinical),Belgium - Verviers,"SMALL MOLECULES, BIOLOGICS",,,,,https://www.lonza.com/,BioPharmGuy
XEDEV,Contract Research (Pre-Clinical),Belgium - Zele,DRUG PRODUCT DEVELOPMENT AND MANUFACTURING FOR SMALL MOLECULES AND BIOLOGICS,,,,,https://xedev.com/,BioPharmGuy
EMERY PHARMA,Contract Research (Pre-Clinical),Ca - Alameda,"CRO SUPPORTING DISCOVERY FOR SMALL MOLECULES, BIOLOGICS (MABS, ADCS, GENE THERAPY, BOTANICALS)",,,,,https://emerypharma.com/,BioPharmGuy
ENSIGNA BIOSYSTEMS,Contract Research (Pre-Clinical),Ca - Alameda,LAB SERVICES,,,,,https://ensigna.com/,BioPharmGuy
GENEFAB,Contract Research (Pre-Clinical),Ca - Alameda,GENE THERAPY SERVICES,,,,,https://www.genefab.com/,BioPharmGuy
AIKIUM,Contract Research (Pre-Clinical),Ca - Berkeley,AI DRUG DISCOVERY,,,,,https://www.aikium.com/,BioPharmGuy
ELEVALUE LABORATORIES,Contract Research (Pre-Clinical),Ca - Berkeley,CONTRACT CELL & GENE THERAPY AND BIOLOGICS,,,,,https://www.elevaluelab.com/,BioPharmGuy
MIRAOMICS,Contract Research (Pre-Clinical),Ca - Berkeley,BIOINFORMATICS SERVICE,,,,,https://miraomics.bio/,BioPharmGuy
WAINAMICS,Contract Research (Pre-Clinical),Ca - Campbell,MICROFLUIDICS SOLUTIONS,,,,,https://wainamics.com/,BioPharmGuy
DCN DX,Contract Research (Pre-Clinical),Ca - Carlsbad,"CDMO, DRY CHEMISTRY, PCR, ELISA, MICROFLUIDICS, LAB-ON-A-CHIP, MICROBIOLOGY, ENGINEERING",,,,,https://dcndx.com/,BioPharmGuy
EXONBIO,Contract Research (Pre-Clinical),Ca - Carlsbad,MONOCLONAL ANTIBODY DISCOVERY WITH SINGLE PLASMA CELL INTERROGATION (SPIN®) TECHNOLOGY FROM IMMUNIZED ANIMALS,,,,,https://exonbio.com/,BioPharmGuy
GENER8,Contract Research (Pre-Clinical),Ca - Carlsbad,"MEDICAL DEVICES PROTOTYPING, ENGINEERING & DESIGN; BIOTECH CONSUMABLES",,,,,https://www.gener8.net/,BioPharmGuy
GILERO,Contract Research (Pre-Clinical),Ca - Carlsbad,"MEDICAL DEVICE DESIGN & DEVELOPMENT, DRUG DELIVERY SYSTEMS DESIGN & DEVELOPMENT",,,,,https://www.gilero.com/,BioPharmGuy
T&L BIOTECHNOLOGY,Contract Research (Pre-Clinical),Ca - Carlsbad,"MAGNETIC BEADS, PROTEIN EXPRESSION, FORMULATION, PROTEIN CHARACTERIZATION, CELL SERVICES",,,,,https://www.tlbiotech.com/,BioPharmGuy
PYRAMID PHARMA SERVICES,Contract Research (Pre-Clinical),Ca - Costa Mesa,"CONTRACT FILLING, LYOPHILIZATION, MANUFACTURING, ANALYTICAL SERVICES",,,,,https://pyramidpharmaservices.com/,BioPharmGuy
ALTASCIENCES,Contract Research (Pre-Clinical),Ca - Cypress,CONTRACT RESEARCH,,,,,https://www.altasciences.com/,BioPharmGuy
OMNIAB,Contract Research (Pre-Clinical),Ca - Emeryville,ANTIBODY REPERTOIRES AND HIGH-THROUGHPUT SCREENING TECHNOLOGIES,,,,,https://www.omniab.com/,BioPharmGuy
BIONOVA SCIENTIFIC,Contract Research (Pre-Clinical),Ca - Fremont,FULL-SERVICE BIOLOGICS CDMO,,,,,https://bionovascientific.com/,BioPharmGuy
INNOVATIVE DEVICE TECHNOLOGIES,Contract Research (Pre-Clinical),Ca - Fremont,PRODUCT DEVELOPMENT,,,,,https://idtechllc.com/,BioPharmGuy
GENNEXT TECHNOLOGIES,Contract Research (Pre-Clinical),Ca - Half Moon Bay,PROTEIN STRUCTURAL ANALYSIS,,,,,https://gnxtech.com/,BioPharmGuy
FRONTAGE,Contract Research (Pre-Clinical),Ca - Hayward,"CONTRACT RESEARCH & DEVELOPMENT, CLINICAL SERVICES, CMC SERVICES",,,,,https://www.frontagelab.com/,BioPharmGuy
MEADOWHAWK BIOLABS,Contract Research (Pre-Clinical),Ca - Hayward,SMALL & LARGE MOLECULE CRO,,,,,https://www.meadowhawkbiolabs.com/,BioPharmGuy
PACIFIC BIOLABS,Contract Research (Pre-Clinical),Ca - Hercules,ANALYTICAL SERVICES,,,,,https://pacificbiolabs.com/,BioPharmGuy
CHARLES RIVER LABORATORIES,Contract Research (Pre-Clinical),Ca - Hollister,RESEARCH ANIMAL MODELS AND PRECLINICAL RESEARCH,,,,,https://www.criver.com/,BioPharmGuy
NAMSA,Contract Research (Pre-Clinical),Ca - Irvine,MEDICAL RESEARCH ORGANIZATION - MEDICAL DEVICES,,,,,https://namsa.com/,BioPharmGuy
NITTO AVECIA PHARMA SERVICES,Contract Research (Pre-Clinical),Ca - Irvine,PHARMA DEVELOPMENT,,,,,https://www.aveciapharma.com/,BioPharmGuy
STASON PHARMACEUTICALS,Contract Research (Pre-Clinical),Ca - Irvine,CDMO,,,,,https://stasonpharma.com/,BioPharmGuy
VICTOGEN,Contract Research (Pre-Clinical),Ca - Irvine,"ANALYTICAL, FORMULATION DEVELOPMENT, REGULATORY",,,,,https://victogenpharma.com/,BioPharmGuy
BEHAVIORAL PHARMA,Contract Research (Pre-Clinical),Ca - La Jolla,PRECLINICAL LAB SERVICES,,,,,https://www.behavioralpharma.com/,BioPharmGuy
BIOSPRING,Contract Research (Pre-Clinical),Ca - La Jolla,MANUFACTURING & ANALYTICAL SERVICES,,,,,https://www.biospring.net/,BioPharmGuy
CELLARCUS BIOSCIENCES,Contract Research (Pre-Clinical),Ca - La Jolla,EXTRACELLULAR VESICLE ANALYSIS ASSAYS,,,,,https://www.cellarcus.com/,BioPharmGuy
JADEBIO,Contract Research (Pre-Clinical),Ca - La Jolla,CONTRACT PROTEIN ANALYSIS,,,,,http://www.jadebio.com/,BioPharmGuy
HTD BIOSYSTEMS,Contract Research (Pre-Clinical),Ca - Livermore,CONTRACT DEVELOPMENT,,,,,https://www.htdcorp.com/,BioPharmGuy
GENZUM LIFE SCIENCES,Contract Research (Pre-Clinical),Ca - Los Angeles,DRUG DEVELOPMENT,,,,,https://genzum.com/,BioPharmGuy
CELLMP,Contract Research (Pre-Clinical),Ca - Menlo Park,"CELL THERAPY SERVICES, CONSULTING",,,,,https://www.cellmp.com/,BioPharmGuy
SRI INTERNATIONAL,Contract Research (Pre-Clinical),Ca - Menlo Park,INDEPENDENT RESEARCH,,,,,https://www.sri.com/,BioPharmGuy
STELLARTECH RESEARCH,Contract Research (Pre-Clinical),Ca - Milpitas,ELECTRONIC DEVICE DEVELOPMENT,,,,,https://www.stellartechresearch.com/,BioPharmGuy
QUICK BIOLOGY,Contract Research (Pre-Clinical),Ca - Monrovia,NEXT-GEN SEQUENCING ANALYSIS,,,,,https://www.quickbiology.com/,BioPharmGuy
ARAGEN LIFE SCIENCES,Contract Research (Pre-Clinical),Ca - Morgan Hill,"CELL LINE DEVELOPMENT, PROTEIN EXPRESSION & PURIFICATION, CELL-BASED & BIOPHYSICAL ASSAYS, AND IN VIVO MODELS OF DISEASE.",,,,,https://www.aragen.com/,BioPharmGuy
CELLECTA,Contract Research (Pre-Clinical),Ca - Mountain View,"CRISPR AND RNAI GENETIC SCREENS, LIBRARIES AND CONSTRUCT; SEQUENCING; RNA EXPRESSION PROFILING; BARCODE LIBRARIES",,,,,https://cellecta.com/,BioPharmGuy
CELLENTIA,Contract Research (Pre-Clinical),Ca - Mountain View,CUSTOM BIOASSAYS,,,,,https://cellentiabio.com/,BioPharmGuy
MURRIETA GENOMICS,Contract Research (Pre-Clinical),Ca - Murrieta,"NGS SERVICES, SAMPLE PREPARATION TECHNOLOGIES, AND GENOMIC ANALYSIS PLATFORMS",,,,,https://www.murrietagenomics.com/,BioPharmGuy
MAXYGEN (2),Contract Research (Pre-Clinical),Ca - Newark,DIRECTED EVOLUTION SERVICES FOR PROTEIN ENGINEERING,,,,,https://www.maxygen.com/,BioPharmGuy
REECHPHARMA,Contract Research (Pre-Clinical),Ca - Newark,CUSTOMIZED FORMULATION SOLUTIONS,,,,,https://reechpharma.com/,BioPharmGuy
ALPHALYSE,Contract Research (Pre-Clinical),Ca - Palo Alto,PROTEIN CHARACTERIZATION SERVICES,,,,,https://alphalyse.com/,BioPharmGuy
AVENUE BIOSCIENCES,Contract Research (Pre-Clinical),Ca - Palo Alto,PROTEIN ENGINEERING,,,,,https://www.avenuebiosciences.com/,BioPharmGuy
INTUNE,Contract Research (Pre-Clinical),Ca - Pasadena,"IVD OR MEDICAL DEVICE PRODUCT DEVELOPMENT, ANALYTICAL & CLINICAL VALIDATION, REGULATORY APPROVAL",,,,,https://www.intune.bio/,BioPharmGuy
DOW DEVELOPMENT LABS,Contract Research (Pre-Clinical),Ca - Petaluma,"FORMULATION DEVELOPMENT, CLINICAL MANUFACTURING, SUPPLIES",,,,,https://www.dowdevelopmentlabs.com/,BioPharmGuy
AAT BIOQUEST,Contract Research (Pre-Clinical),Ca - Pleasanton,BIOANALYTICAL RESEARCH REAGENTS AND KITS; VARIOUS CONTRACT RESEARCH OFFERINGS,,,,,https://www.aatbio.com/,BioPharmGuy
SK PHARMTECO,Contract Research (Pre-Clinical),Ca - Rancho Cordova,SMALL MOLECULE DEVELOPMENT & MANUFACTURING,,,,,https://www.skpharmteco.com/,BioPharmGuy
CODEXIS,Contract Research (Pre-Clinical),Ca - Redwood City,ENZYMATIC MANUFACTURING OF SIRNA THERAPEUTICS,,,,,https://www.codexis.com/,BioPharmGuy
ACCURUS BIOSCIENCES,Contract Research (Pre-Clinical),Ca - Richmond,CELLULAR & ANTIBODY SERVICES,,,,,http://accurusbio.com/web/,BioPharmGuy
JOINN BIOLOGICS,Contract Research (Pre-Clinical),Ca - Richmond,BIOLOGICS CDMO,,,,,https://www.joinnbio.com/,BioPharmGuy
PROMAB BIOTECHNOLOGIES,Contract Research (Pre-Clinical),Ca - Richmond,"SERVICES AND PRODUCTS IN MRNA-LNP, CAR-T/CAR-NK, ANTIBODY & BISPECIFIC ANTIBODY, PROTEINS & CYTOKINES, NANOPARTICLE FORMULATION",,,,,https://www.promab.com/,BioPharmGuy
ACCELERO BIOSTRUCTURES,Contract Research (Pre-Clinical),Ca - San Carlos,HIGH-THROUGHPUT PROTEIN X-RAY CRYSTALLOGRAPHY-DRIVEN DRUG DISCOVERY AND STRUCTURAL BIOLOGY SOLUTIONS,,,,,https://www.accelerobio.com/,BioPharmGuy
FOG CITY BIO,Contract Research (Pre-Clinical),Ca - San Carlos,RAPID ELISA OPTIMIZATION,,,,,https://fogcitybio.com/,BioPharmGuy
ABEOMICS,Contract Research (Pre-Clinical),Ca - San Diego,CONTRACT RESEARCH,,,,,https://www.abeomics.com/,BioPharmGuy
ACCELAGEN,Contract Research (Pre-Clinical),Ca - San Diego,CONTRACT MOLECULAR BIOLOGY WORK,,,,,https://accelagen.com/,BioPharmGuy
ANABIOS,Contract Research (Pre-Clinical),Ca - San Diego,HUMAN TISSUE CLINICAL TESTING,,,,,https://anabios.com/,BioPharmGuy
ARES BIOSCIENCE,Contract Research (Pre-Clinical),Ca - San Diego,"CELL LINE ENGINEERING, ASSAY DEVELOPMENT, IN VIVO SERVICES",,,,,https://acresbiosciences.com/,BioPharmGuy
AVANTGEN,Contract Research (Pre-Clinical),Ca - San Diego,"YEAST-DISPLAY TECHNOLOGY, HUMAN ANTIBODY DISCOVERY",,,,,https://www.avantgen.com/,BioPharmGuy
BIOAGILYTIX,Contract Research (Pre-Clinical),Ca - San Diego,"BIOANALYTICAL SERVICES, IMMUNOASSAYS, CELL-BASED ASSAYS",,,,,https://www.bioagilytix.com/,BioPharmGuy
BIOLEGACY RESEARCH,Contract Research (Pre-Clinical),Ca - San Diego,CONTRACT RESEARCH,,,,,https://biolegacyresearch.com/,BioPharmGuy
BORA BIOLOGICS,Contract Research (Pre-Clinical),Ca - San Diego,CONTRACT BIOLOGICS,,,,,https://www.borabiologics.com/,BioPharmGuy
CALCHEM SYNTHESIS,Contract Research (Pre-Clinical),Ca - San Diego,CONTRACT CHEMISTRY,,,,,https://www.calchemsynthesis.com/,BioPharmGuy
CERTIS ONCOLOGY SOLUTIONS,Contract Research (Pre-Clinical),Ca - San Diego,"CANCER THERAPY RECOMMENDATION PLATFORM, PRECLINICAL CRO",,,,,https://www.certisoncology.com/#drug-development,BioPharmGuy
CHEMDIV,Contract Research (Pre-Clinical),Ca - San Diego,"CONTRACT DEVELOPMENT, CLINICAL TRIAL MONITORING",,,,,https://www.chemdiv.com/,BioPharmGuy
CHEMVEDA LIFE SCIENCES,Contract Research (Pre-Clinical),Ca - San Diego,DRUG DISCOVERY & DEVELOPMENT SERVICES,,,,,https://chemvedals.com/,BioPharmGuy
CROWN BIOSCIENCE,Contract Research (Pre-Clinical),Ca - San Diego,DRUG DEVELOPMENT,,,,,https://www.crownbio.com,BioPharmGuy
ENQUBIO,Contract Research (Pre-Clinical),Ca - San Diego,CONTRACT RESEARCH & SERVICES,,,,,https://www.enqubio.com/,BioPharmGuy
LEARDON SOLUTIONS,Contract Research (Pre-Clinical),Ca - San Diego,DIAGNOSTIC AND DEVICE DEVELOPMENT,,,,,https://www.leardon.com/,BioPharmGuy
MOLECULAR DEPOT,Contract Research (Pre-Clinical),Ca - San Diego,"ANTIBODIES, DEVELOPMENT",,,,,https://moleculardepot.com/,BioPharmGuy
NANOCOMPOSIX,Contract Research (Pre-Clinical),Ca - San Diego,"NANOPARTICLES, CONTRACT WORK",,,,,https://nanocomposix.com/,BioPharmGuy
NEXOVA BIOSCIENCES,Contract Research (Pre-Clinical),Ca - San Diego,"CUSTOM ANTIBODIES, SANGER AND NANOPORE SEQUENCING, HISTOPATHOLOGY AND IN-VIVO STUDIES",,,,,https://nexovabio.com/,BioPharmGuy
PCI PHARMA SERVICES,Contract Research (Pre-Clinical),Ca - San Diego,"CONTRACT MANUFACTURING, SERVICES",,,,,https://pci.com/,BioPharmGuy
POLYPEPTIDE GROUP,Contract Research (Pre-Clinical),Ca - San Diego,POLYPEPTIDE MANUFACTURING,,,,,https://www.polypeptide.com/,BioPharmGuy
SAPIENT BIOANALYTICS,Contract Research (Pre-Clinical),Ca - San Diego,"MULTI-OMICS BIOMARKER DISCOVERY – METABOLOMICS, LIPIDOMICS, PROTEOMICS, BIOINFORMATICS & TRANSLATION",,,,,https://sapient.bio/,BioPharmGuy
THERAPEUTICS INC.,Contract Research (Pre-Clinical),Ca - San Diego,DERMATOLOGY DRUG DEVELOPMENT SERVICES,,,,,https://www.therapeuticsinc.com/,BioPharmGuy
TIOGA RESEARCH,Contract Research (Pre-Clinical),Ca - San Diego,CONTRACT R&D FOR TOPICALS,,,,,https://tiogaresearch.com/,BioPharmGuy
WUXI APPTEC,Contract Research (Pre-Clinical),Ca - San Diego,"ALL TYPES OF CONTRACT WORK FOR SMALL MOLECULES, DEVICES",,,,,https://www.wuxiapptec.com/,BioPharmGuy
XILTRIX,Contract Research (Pre-Clinical),Ca - San Diego,LAB MONITORING SERVICE,,,,,https://www.xiltrixusa.com/,BioPharmGuy
ANTOGEN,Contract Research (Pre-Clinical),Ca - San Francisco,IMMUNOPEPTIDOMICS SERVICES,,,,,https://antogen.com/,BioPharmGuy
BTLABS,Contract Research (Pre-Clinical),Ca - San Francisco,"PEPTIDE, OLIGO, ENZYME TESTING",,,,,https://btlabtesting.com/,BioPharmGuy
ICOSAGEN CELL FACTORY,Contract Research (Pre-Clinical),Ca - San Francisco,"RECOMBINANT ANTIBODIES, PROTEINS FROM MAMMALIAN CELLS",,,,,https://www.icosagen.com/,BioPharmGuy
KLYNEAI,Contract Research (Pre-Clinical),Ca - San Francisco,CRO FOR IN SILICO HIT DISCOVERY,,,,,https://www.klyne.ai/,BioPharmGuy
ACROBIOSYSTEMS,Contract Research (Pre-Clinical),Ca - San Jose,"PROTEINS, ANTIBODIES, KITS, GMP-GRADE REAGENTS, AND CUSTOM SERVICES",,,,,https://acrobiosystems.com.cn/,BioPharmGuy
GENER8,Contract Research (Pre-Clinical),Ca - San Jose,"MEDICAL DEVICES PROTOTYPING, ENGINEERING & DESIGN; BIOTECH CONSUMABLES",,,,,https://www.gener8.net/,BioPharmGuy
AUSTRAL BIOLOGICALS,Contract Research (Pre-Clinical),Ca - San Ramon,"RESEARCH PRODUCT DISTRIBUTOR, CONTRACT SERVICES",,,,,http://www.australbiologicals.com/index.php,BioPharmGuy
CIRTEC MEDICAL,Contract Research (Pre-Clinical),Ca - Santa Clara,CONTRACT MEDICAL DEVICES,,,,,https://www.cirtecmed.com/,BioPharmGuy
CYAGEN BIOSCIENCES,Contract Research (Pre-Clinical),Ca - Santa Clara,"CONTRACT RESEARCH; RODENT MODELS, DNA VECTORS, STEM CELL PRODUCTS",,,,,https://www.cyagen.com/,BioPharmGuy
ABIOSCIENCES,Contract Research (Pre-Clinical),Ca - South Sf,"SINGLE CELL SEQUENCING, BIOINFORMATICS, AI-AIDED MOLECULAR DESIGN",,,,,https://www.abiosciences.com/,BioPharmGuy
CLEO LIFE SCIENCES,Contract Research (Pre-Clinical),Ca - South Sf,"CMC CONSULTING, CONTRACT RESEARCH",,,,,https://www.cleolifesciences.com/,BioPharmGuy
DC3 THERAPEUTICS,Contract Research (Pre-Clinical),Ca - South Sf,PRE-CLINICAL CONTRACT RESEARCH,,,,,https://dc3therapeutics.com/,BioPharmGuy
NEOPEUTICS,Contract Research (Pre-Clinical),Ca - South Sf,DRUG DISCOVERY CONTRACT RESEARCH,,,,,http://www.neopeutics.com/,BioPharmGuy
PLASMIDSAURUS,Contract Research (Pre-Clinical),Ca - South Sf,GENOME SEQUENCING SERVICES,,,,,https://plasmidsaurus.com/,BioPharmGuy
FORMUREX,Contract Research (Pre-Clinical),Ca - Stockton,CONTRACT RESEARCH,,,,,http://www.formurex.com,BioPharmGuy
COMPARATIVE BIOSCIENCES,Contract Research (Pre-Clinical),Ca - Sunnyvale,"GLP AND NON-GLP PRECLINICAL TOXICOLOGY, EFFICACY, PHARMACOLOGY, HISTOPATHOLOGY, AND SAFETY STUDIES ON ALL LABORATORY SPECIES.",,,,,https://www.compbio.com/,BioPharmGuy
FUJIFILM DIOSYNTH,Contract Research (Pre-Clinical),Ca - Thousand Oaks,BIOLOGICS DEVELOPMENT & MANUFACTURING,,,,,https://fujifilmbiotechnologies.fujifilm.com/,BioPharmGuy
POLYPEPTIDE GROUP,Contract Research (Pre-Clinical),Ca - Torrance,POLYPEPTIDE MANUFACTURING,,,,,https://www.polypeptide.com/,BioPharmGuy
MURIGENICS,Contract Research (Pre-Clinical),Ca - Vallejo,IN-VIVO AND IN-VITRO CONTRACT DRUG DISCOVERY AND DEVELOPMENT SERVICES,,,,,https://www.murigenics.com/,BioPharmGuy
ONCOTRACKER,Contract Research (Pre-Clinical),Ca - West Hollywood,DRUG DISCOVERY,,,,,https://oncotracker.com/,BioPharmGuy
ABIOSCIENCES,Contract Research (Pre-Clinical),China - Beijing,"SINGLE CELL SEQUENCING, BIOINFORMATICS, AI-AIDED MOLECULAR DESIGN",,,,,https://www.abiosciences.com/,BioPharmGuy
ACROBIOSYSTEMS,Contract Research (Pre-Clinical),China - Beijing,"PROTEINS, ANTIBODIES, KITS, GMP-GRADE REAGENTS, AND CUSTOM SERVICES",,,,,https://acrobiosystems.com.cn/,BioPharmGuy
ASYMCHEM,Contract Research (Pre-Clinical),China - Beijing,CDMO PROVIDING FULLY INTEGRATED SOLUTIONS IN SMALL MOLECULE DRUG DEVELOPMENT & PRODUCTION FROM CLINICAL STAGE TO COMMERCIALIZATION,,,,,https://www.asymchem.com/,BioPharmGuy
BEIJING DIAGREAT BIOTECHNOLOGY,Contract Research (Pre-Clinical),China - Beijing,"DIAGNOSTIC REAGENTS, DNA SYNTHESIS, RNA SERVICES",,,,,http://en.diagreat.com/,BioPharmGuy
